vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
109,4719,0.299649,1.38217,-2.72283,0,0,0,0
110,23398,0.190956,1.45488,-2.64731,0,1.77359,13.2149,-39.5554
111,30774,-0.488804,1.99078,-1.8952,0,-0.344132,16.2515,-46.7867
112,39996,-0.545717,2.11709,-1.82195,0,-0.715492,17.9715,-55.0659
113,34465,-0.619688,1.9865,-1.77684,0,-1.1881,16.5927,-48.2978
114,40107,-0.666506,2.06991,-1.88438,0,-0.977095,16.6436,-51.6276
115,30905,0.218411,2.79459,-4.01998,0,9.57503,19.852,-50.5345
116,31752,0.0529309,2.89416,-4.0728,0,9.43545,18.2968,-46.8228
117,19278,0.023978,2.77172,-3.9871,0,8.91051,17.4728,-46.0007
118,35859,0.104701,2.75261,-4.12235,0,9.46074,17.0509,-45.9761
119,18751,-0.338999,2.29815,-1.64518,0,-0.41995,17.4341,-56.8725
120,24859,-0.221304,2.33528,-1.53029,0,1.46546,15.3699,-45.5935
121,19700,-0.187742,2.37683,-1.69022,0,-0.620899,15.0996,-46.5905
122,29954,-0.203734,2.18266,-1.68113,0,-1.69008,18.7948,-55.7616
123,20730,-0.809559,2.06464,-1.86949,0,-0.652915,18.2721,-53.2765
124,41310,-0.685928,2.15224,-1.73455,0,0.661183,19.1928,-58.9098
125,27849,-0.7826,2.01508,-1.7152,0,-1.87365,18.3703,-53.8863
126,46262,-0.807645,2.16231,-1.65115,0,1.17824,14.0636,-41.4455
127,4915,0.636656,2.25903,-3.43237,0,0,0,0
128,18072,0.47751,2.38578,-3.35659,0,9.04957,16.3139,-43.5635
129,4879,0.605543,2.31849,-3.27509,0,0,0,0
130,25699,0.0718463,1.97346,-3.99391,0,8.184,19.0656,-57.0261
131,36997,0.0779331,1.8975,-4.13328,0,8.49316,18.22,-50.7437
132,26026,0.0784454,2.02297,-4.18126,0,8.02291,18.4898,-55.955
133,43882,-0.0568215,1.95921,-4.19035,0,6.97118,18.4989,-56.4519
134,4592,-0.732185,2.45798,-1.80483,0,0,0,0
135,4625,-0.593474,2.54972,-1.84549,0,0,0,0
136,4650,-0.732886,2.51005,-1.9666,0,0,0,0
137,22568,-0.582909,2.4057,-1.95775,0,0.046985,15.5958,-51.0133
138,4620,0.450935,2.16821,-1.99401,0,0,0,0
139,17010,0.366389,2.027,-2.02556,0,-2.1815,16.5674,-46.9777
140,4643,0.515932,2.05329,-2.09648,0,0,0,0
141,25430,0.390169,2.02865,-2.1728,0,-1.89221,13.2823,-44.1252
142,31890,-0.135061,2.74854,-3.88747,0,8.27755,16.5868,-43.3303
143,35048,-0.202229,2.91357,-3.97534,0,8.89276,17.8601,-48.0929
144,29821,0.00699477,2.8625,-3.83659,0,8.12265,20.7897,-50.7768
145,35539,-0.132555,2.9178,-3.7976,0,8.66018,20.6199,-51.0198
146,21474,-0.241774,1.99727,-4.34079,0,8.22096,19.2563,-54.8282
147,24531,-0.189265,1.97018,-4.12119,0,6.41078,17.3916,-51.4824
148,15410,-0.101905,2.09112,-4.24523,0,7.36044,15.8408,-46.6034
149,37051,-0.140972,1.86948,-4.27586,0,10.8058,19.3928,-54.2498
150,31821,-0.589669,1.61499,-1.8085,0,-0.445229,16.656,-46.7872
151,36160,-0.427957,1.62978,-1.74419,0,-0.98393,17.1572,-47.5234
152,31163,-0.410256,1.48452,-1.72004,0,-1.34151,17.4642,-47.2473
153,36217,-0.539535,1.55636,-1.64862,0,-0.974643,15.946,-45.7402
154,30817,0.436387,1.89415,-2.41098,0,-1.47103,15.2113,-46.714
155,35871,0.294118,1.94997,-2.41707,0,0.497412,19.5192,-59.2092
156,24906,-0.646672,2.30123,-2.67588,0,1.91688,19.2686,-53.7738
157,44931,-0.463827,2.36612,-2.80611,0,3.09312,16.9467,-49.3765
158,14870,-0.564677,2.47199,-2.64589,0,1.58575,18.7407,-55.4797
159,46177,-0.661572,2.42462,-2.7245,0,1.93006,20.0197,-57.2036
160,23371,-0.909346,1.72341,-1.88503,0,-0.166329,19.9237,-53.7139
161,25175,-0.944457,1.69873,-1.72682,0,-0.00643234,18.7246,-52.6717
162,16560,-0.831951,1.55176,-1.80346,0,-0.52387,18.4509,-52.4029
163,29715,-0.997049,1.58182,-1.84165,0,0.333734,18.0309,-45.1705
164,4590,-0.257378,2.52192,-1.61812,0,0,0,0
165,4589,-0.0718932,2.49891,-1.63757,0,0,0,0
166,4623,-0.14819,2.56713,-1.79949,0,0,0,0
167,4656,-0.29078,1.13195,-2.71307,0,0,0,0
168,4636,-0.467968,1.12676,-2.64237,0,0,0,0
169,4694,-0.410167,1.17503,-2.80964,0,0,0,0
170,23380,-0.372961,1.21111,-2.57968,0,2.03479,12.379,-38.9466
171,19718,0.111424,1.58196,-3.10837,0,5.59645,18.1481,-49.3932
172,19958,0.255678,1.66361,-3.20584,0,5.10776,14.8965,-41.8828
173,4800,0.304535,1.49376,-3.17016,0,0,0,0
174,30339,0.256263,1.61663,-3.05464,0,4.88482,14.0775,-40.7012
175,33092,0.276238,1.97939,-3.09834,0,3.48405,19.1048,-58.3723
176,38096,0.175272,1.88413,-3.09297,0,3.69433,20.6875,-60.0094
177,19142,0.233662,2.05045,-2.98583,0,3.42884,19.0985,-57.0841
178,39824,0.166053,1.8951,-2.87602,0,2.72957,18.0732,-55.0334
179,27677,-0.339021,2.00783,-3.36039,0,4.66738,16.1022,-47.0123
180,35735,-0.245921,2.10426,-3.45077,0,5.37348,16.6808,-47.9769
181,23155,-0.349404,2.01715,-3.58513,0,5.4348,15.9087,-46.9326
182,40106,-0.281739,1.9196,-3.49575,0,4.57311,15.4709,-46.7978
183,18101,-0.93927,1.97413,-2.33239,0,2.29653,19.393,-54.7668
184,25191,-0.785922,1.94751,-2.41906,0,1.59861,18.3905,-51.7172
185,20731,-0.858616,2.09286,-2.29256,0,0.675888,18.8901,-53.8134
186,40877,-0.911251,1.96938,-2.46444,0,1.34352,19.6101,-56.9977
187,14244,-0.0774229,1.99851,-1.89766,0,-0.050262,16.7333,-49.2224
188,24217,0.0805132,2.10607,-1.96245,0,-1.04284,18.6065,-56.675
189,45207,-0.0531366,2.11977,-1.95132,0,-0.0154392,17.9232,-52.9472
190,28121,-0.423381,2.52671,-3.94176,0,8.04423,15.3102,-43.0547
191,38326,-0.420191,2.65658,-4.07612,0,9.48473,15.34,-43.7473
192,23110,-0.570499,2.6518,-4.04746,0,9.39419,17.2609,-48.8657
193,43439,-0.554374,2.50003,-3.9775,0,8.22807,16.617,-46.525
194,4933,0.0404631,1.53121,-3.84214,0,0,0,0
195,4932,-0.0828116,1.51642,-3.93157,0,0,0,0
196,4951,0.0935778,1.59612,-3.97972,0,0,0,0
197,21676,0.00315476,1.69014,-3.87591,0,6.89946,15.2595,-40.137
198,4898,-0.24994,3.04494,-3.11736,0,0,0,0
199,4883,-0.405109,3.031,-3.09372,0,0,0,0
200,4882,-0.287447,2.99539,-3.01012,0,0,0,0
201,23261,-0.322187,2.9057,-3.14846,0,7.04058,19.8629,-42.1731
202,4523,0.579006,1.53994,-1.69006,0,0,0,0
203,26921,0.411151,1.46127,-1.69525,0,-2.61635,21.822,-49.8997
204,24176,0.451838,1.62492,-1.56605,0,-1.43671,16.2038,-44.4846
205,27307,0.452098,1.44048,-1.56128,0,-1.33049,20.7797,-43.4267
206,14377,-0.574203,2.09484,-4.30161,0,8.26227,15.5424,-48.8615
207,26579,-0.452173,2.30225,-4.35054,0,9.30597,16.7403,-47.2838
208,18571,-0.62214,2.23841,-4.29893,0,9.54502,17.2972,-51.4987
209,34689,-0.536643,2.18947,-4.42306,0,9.87387,17.0626,-50.232
210,4680,0.565468,1.85019,-2.33536,0,0,0,0
211,24549,0.410073,1.75466,-2.36817,0,-0.991068,16.5989,-54.2994
212,4699,0.554345,1.7433,-2.42265,0,0,0,0
213,14022,-0.584315,1.95646,-1.44323,0,-2.43896,16.4028,-49.8842
214,37228,-0.577274,2.04352,-1.65655,0,-0.539808,17.3505,-51.6303
215,27565,-0.566305,1.90708,-1.62852,0,-1.31083,16.1097,-47.823
216,45529,-0.456301,2.05268,-1.58572,0,-1.18729,17.1836,-51.9483
217,15978,-0.589077,2.90725,-3.86699,0,10.5405,20.7118,-52.0168
218,25605,-0.595214,2.98766,-4.05385,0,10.326,18.5398,-47.8118
219,20785,-0.752093,2.87699,-3.95708,0,9.11873,15.2345,-37.7502
220,34014,-0.559948,2.84211,-3.9884,0,9.00509,18.1084,-50.5606
221,4747,0.00312121,2.67673,-2.3449,0,0,0,0
